lon_bin,lat_bin,date_year,day_of_year_sin,day_of_year_cos,week_of_year_sin,week_of_year_cos,tavg,tmin,tmax,prcp,snow,Unemployment_Rate(%),Unemployment_Rank,CPI(Annual),Nearest Station,Distance (km)
-97.975,32.625,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,102.253306893
-97.975,32.675,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,101.7988194762
-97.975,32.725,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,101.6468240323
-97.975,32.775,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,101.7986755212
-97.975,32.825,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Southwest Patrol Division,102.2530202625
-97.975,32.875,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Northwest Operations Division,102.3367129385
-97.975,32.925,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Northwest Operations Division,102.579174434
-97.975,32.975,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,19.4,15.3,24.9,3.4,,,,,Northwest Operations Division,103.1212271211
-97.975,33.025,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,103.9581847729
-97.975,33.075,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,105.0830011109
-97.975,33.125,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,106.4865545812
-97.975,33.175,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,108.1579943118
-97.975,33.225,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,110.0851189007
-97.975,33.275,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,112.2547607722
-97.975,33.325,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,114.6531529069
-97.975,33.375,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,21.2,17.4,27.2,0.0,,,,,Northwest Operations Division,117.266260577
-97.975,33.425,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,Northwest Operations Division,120.0800670832
-97.975,33.475,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,Northwest Operations Division,123.0808083918
-97.975,33.525,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,125.8913040689
-97.975,33.575,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,128.5939239864
-97.975,33.625,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,131.4761933433
-97.975,33.675,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,134.5265655162
-97.975,33.725,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,137.7338721115
-97.975,33.775,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,141.087410876
-97.975,33.825,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,144.5770063743
-97.975,33.875,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,148.1930474756
-97.975,33.925,2025,0.995918996147179,0.09025161003104117,1.0,-1.6081226496766364e-16,20.0,16.9,25.1,0.6,,,,,North Central Division,151.9265057569
